CEPAL/CELADE Redatam+SP 09/19/2026;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Título;;;;;;;;;;;;;;;;;
Parentesco o relación con el representante del hogar;;;;;;;;;;;;;;;;;
Base de datos;;;;;;;;;;;;;;;;;
VIIi Censo de Población y VII de Vivienda 2022;;;;;;;;;;;;;;;;;
Área Geográfica;;;;;;;;;;;;;;;;;
Toda la Base de Datos;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Código;Nombre de provincia;Representante del hogar;Cónyuge o conviviente;Hija o hijo;Hijastra o hijastro;Nuera o yerno;Nieta o nieto;Madre o padre;Suegra o suegro;Otro pariente;Otro no pariente;Empleada/o doméstica/o;Miembro de hogar colectivo;Persona sin vivienda;Total;
;1;Azuay;   246 867;   132 568;   311 039;   7 612;   7 361;   40 053;   10 429;   2 850;   33 495;   6 122;    614;   2 572;    27;   801 609;
;2;Bolívar;   63 428;   32 728;   80 666;   1 960;   1 460;   8 112;   2 381;    550;   5 876;   1 316;    56;    534;    11;   199 078;
;3;Cañar;   69 671;   36 070;   87 689;   2 519;   2 478;   14 442;   3 011;    784;   8 651;   1 553;    121;    582;    7;   227 578;
;4;Carchi;   53 716;   30 046;   68 777;   2 114;    926;   7 217;   2 396;    584;   5 029;    926;    45;   1 043;    9;   172 828;
;5;Cotopaxi;   139 362;   82 767;   191 399;   5 008;   4 785;   18 728;   6 220;   1 724;   13 319;   2 177;    110;   4 595;    16;   470 210;
;6;Chimborazo;   149 395;   82 627;   187 041;   3 935;   3 890;   18 368;   6 432;   1 596;   14 928;   2 239;    145;   1 310;    27;   471 933;
;7;El Oro;   221 627;   119 806;   272 901;   12 262;   7 365;   34 456;   8 633;   2 369;   27 193;   5 397;    251;   2 239;    93;   714 592;
;8;Esmeraldas;   166 694;   78 636;   231 509;   9 257;   4 780;   28 677;   4 923;   1 245;   19 442;   5 164;    98;   3 329;    146;   553 900;
;9;Guayas;  1 319 163;   696 442;  1 696 175;   60 703;   56 254;   235 389;   59 469;   15 483;   196 972;   37 778;   2 473;   14 994;    628;  4 391 923;
;10;Imbabura;   141 502;   79 699;   191 801;   5 382;   4 015;   18 943;   7 069;   1 793;   15 302;   2 877;    134;   1 269;    93;   469 879;
;11;Loja;   148 762;   81 541;   198 873;   4 325;   3 094;   20 595;   5 642;   1 461;   16 615;   2 648;    217;   1 616;    32;   485 421;
;12;Los Ríos;   282 171;   142 120;   354 697;   13 451;   9 269;   45 746;   9 856;   2 350;   30 599;   6 711;    141;   1 477;    64;   898 652;
;13;Manabí;   484 455;   280 041;   621 443;   18 890;   19 198;   77 044;   18 649;   5 778;   52 225;   10 889;    492;   3 597;    139;  1 592 840;
;14;Morona Santiago;   52 453;   29 404;   88 989;   3 372;   1 430;   7 456;   1 334;    343;   5 641;   1 326;    65;    687;    8;   192 508;
;15;Napo;   35 615;   21 779;   58 903;   1 628;   1 771;   5 294;   1 204;    287;   3 836;    721;    44;    592;    1;   131 675;
;16;Pastaza;   31 383;   17 938;   49 257;   1 911;    862;   4 391;   1 127;    281;   3 521;    833;    28;    361;    22;   111 915;
;17;Pichincha;   994 599;   562 447;  1 175 428;   37 812;   20 130;   99 556;   48 448;   11 742;   109 610;   21 921;   2 014;   5 525;    241;  3 089 473;
;18;Tungurahua;   176 227;   101 357;   217 172;   4 908;   5 665;   22 294;   9 601;   2 606;   18 062;   2 896;    167;   2 548;    29;   563 532;
;19;Zamora Chinchipe;   32 872;   18 035;   48 127;   1 735;    579;   4 260;    925;    222;   3 112;    538;    35;    521;    12;   110 973;
;20;Galápagos;   9 718;   5 567;   9 863;    767;    220;    737;    321;    123;    794;    304;    28;    140;    1;   28 583;
;21;Sucumbíos;   59 083;   34 352;   83 495;   3 757;   1 598;   6 924;   1 641;    469;   5 443;   1 161;    46;   1 014;    31;   199 014;
;22;Orellana;   50 843;   31 041;   81 209;   3 475;   1 652;   5 965;   1 253;    377;   5 004;   1 129;    47;    155;    16;   182 166;
;23;Santo Domingo de los Tsáchilas;   153 289;   81 946;   194 396;   8 210;   3 890;   19 834;   6 436;   1 663;   17 914;   3 671;    145;   1 508;    67;   492 969;
;24;Santa Elena;   105 932;   63 113;   166 200;   4 138;   6 245;   19 230;   4 079;   1 155;   12 845;   2 085;    53;    611;    49;   385 735;
;TOTAL;;  5 188 827;  2 842 070;  6 667 049;   219 131;   168 917;   763 711;   221 479;   57 835;   625 428;   122 382;   7 569;   52 819;   1 769;  16 938 986;
;;;;;;;;;;;;;;;;;
Fuente: VIII Censo de Población y VII de Vivienda;;;;;;;;;;;;;;;;;
Procesado con Redatam Webserver;;;;;;;;;;;;;;;;;
2022 - 2026 | INEC - Instituto Nacional de Estadística y Censos, Ecuador;;;;;;;;;;;;;;;;;
NOTA: Glosario de Indicadores en Información / Referencias;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
